judge_count	max_mean_ns	hedge	MTF
25	0.7614	0.7888	0.8025
50	0.8361	0.8497	0.8467
75	0.8714	0.8779	0.8774
100	0.8937	0.8992	0.8954
125	0.9023	0.9077	0.9033
150	0.914	0.9128	0.9095
175	0.9212	0.922	0.9157
200	0.9299	0.9319	0.9238
225	0.9357	0.9352	0.9313
250	0.9403	0.938	0.9341
275	0.9427	0.9403	0.9381
300	0.9447	0.9407	0.9404
325	0.9493	0.9469	0.942
350	0.9525	0.9473	0.9441
375	0.951	0.9494	0.9469
400	0.9535	0.9512	0.95
425	0.956	0.9528	0.9546
450	0.9563	0.9547	0.9561
475	0.9577	0.955	0.9578
500	0.9596	0.9566	0.9594
