judge_count	hedge	max_mean_ns	MTF
25	1.0	0.2251	0.1345
50	0.4816	0.1225	0.1147
75	0.2257	0.1093	0.1121
100	0.1840	0.0701	0.0736
125	0.1879	0.0658	0.0340
150	0.1866	0.0432	0.0354
175	0.1771	0.0478	0.0172
200	0.2208	0.0785	0.0156
225	0.1460	0.0292	0.0174
250	0.1548	0.0209	0.0162
275	0.0971	0.0520	0.0177
300	0.0713	0.0249	0.0154
325	0.0556	0.0208	0.0243
350	0.0771	0.0148	0.0155
375	0.0473	0.0220	0.0113
400	0.0456	0.0127	0.0245
425	0.0496	0.0089	0.0081
450	0.0418	0.0129	0.0088
475	0.0216	0.0151	0.0102
500	0.0182	0.0164	0.0040
